Institute Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,12-25-23,2025-26 Seat Capacity,2025-26 Female Supernumerary,12-26-24,Difference␍
"Assam University, Silchar",0.0,0.0,0.0,180.0,0.0,180.0,180.0␍
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,0.0,0.0,0.0,360.0,0.0,360.0,360.0␍
"Birla Institute of Technology, Deoghar Off-Campus",0.0,0.0,0.0,281.0,24.0,305.0,305.0␍
"Birla Institute of Technology, Mesra, Ranchi",0.0,0.0,0.0,1207.0,105.0,1312.0,1312.0␍
"Birla Institute of Technology, Patna Off-Campus",0.0,0.0,0.0,424.0,39.0,463.0,463.0␍
CU Jharkhand,0.0,0.0,0.0,84.0,0.0,84.0,84.0␍
Central University of Haryana,0.0,0.0,0.0,210.0,0.0,210.0,210.0␍
Central University of Jammu,0.0,0.0,0.0,300.0,0.0,300.0,300.0␍
"Central University of Rajasthan, Rajasthan",0.0,0.0,0.0,90.0,0.0,90.0,90.0␍
"Central institute of Technology Kokrajar, Assam",0.0,0.0,0.0,20.0,4.0,24.0,24.0␍
"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",0.0,0.0,0.0,120.0,0.0,120.0,120.0␍
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",1103.0,3.0,1106.0,1103.0,0.0,1103.0,-3.0␍
"Gati Shakti Vishwavidyalaya, Vadodara",0.0,0.0,0.0,340.0,26.0,366.0,366.0␍
"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",0.0,0.0,0.0,187.0,14.0,201.0,201.0␍
"Gurukula Kangri Vishwavidyalaya, Haridwar",0.0,0.0,0.0,545.0,0.0,545.0,545.0
Islamic University of Science and Technology Kashmir,0.0,0.0,0.0,20.0,0.0,20.0,20.0
"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",0.0,0.0,0.0,86.0,0.0,86.0,86.0
"Jawaharlal Nehru University, Delhi",0.0,0.0,0.0,126.0,0.0,126.0,126.0
Malaviya National Institute of Technology Jaipur,888.0,0.0,888.0,888.0,0.0,888.0,0.0
Maulana Azad National Institute of Technology Bhopal,962.0,241.0,1203.0,970.0,233.0,1203.0,0.0
"Mizoram University, Aizawl",0.0,0.0,0.0,96.0,0.0,96.0,96.0
Motilal Nehru National Institute of Technology Allahabad,1078.0,56.0,1134.0,1078.0,56.0,1134.0,0.0
"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",0.0,0.0,0.0,16.0,0.0,16.0,16.0
"North-Eastern Hill University, Shillong",0.0,0.0,0.0,80.0,0.0,80.0,80.0
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",0.0,0.0,0.0,550.0,0.0,550.0,550.0
"Puducherry Technological University, Puducherry",0.0,0.0,0.0,317.0,0.0,317.0,317.0
"Punjab Engineering College, Chandigarh",0.0,0.0,0.0,800.0,0.0,800.0,800.0
"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",0.0,0.0,0.0,120.0,0.0,120.0,120.0
Sant Longowal Institute of Engineering and Technology,0.0,0.0,0.0,625.0,0.0,625.0,625.0
"Sardar Vallabhbhai National Institute of Technology, Surat",0.0,0.0,0.0,1400.0,0.0,1400.0,1400.0
"School of Engineering, Tezpur University, Napaam, Tezpur",0.0,0.0,0.0,165.0,0.0,165.0,165.0
"School of Planning & Architecture, Bhopal",0.0,0.0,0.0,132.0,0.0,132.0,132.0
"School of Planning & Architecture, New Delhi",0.0,0.0,0.0,175.0,0.0,175.0,175.0
School of Planning & Architecture: Vijayawada,0.0,0.0,0.0,132.0,0.0,132.0,132.0
"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",0.0,0.0,0.0,690.0,0.0,690.0,690.0
Shri G. S. Institute of Technology and Science Indore,0.0,0.0,0.0,43.0,0.0,43.0,43.0
"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",0.0,0.0,0.0,335.0,0.0,335.0,335.0
University of Hyderabad,0.0,0.0,0.0,110.0,0.0,110.0,110.0
"Visvesvaraya National Institute of Technology, Nagpur",0.0,0.0,0.0,933.0,0.0,933.0,933.0
