Institute Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,12-25-23,2025-26 Seat Capacity,2025-26 Female Supernumerary,12-26-24,Difference
Indian Institute of Technology (BHU) Varanasi,1513.0,76.0,1589.0,1528.0,61.0,1589.0,0.0
Indian Institute of Technology (ISM) Dhanbad,1010.0,115.0,1125.0,1109.0,101.0,1210.0,85.0
Indian Institute of Technology Bhilai,270.0,9.0,279.0,316.0,13.0,329.0,50.0
Indian Institute of Technology Bhubaneswar,496.0,0.0,496.0,496.0,0.0,496.0,0.0
Indian Institute of Technology Bombay,1204.0,174.0,1378.0,1204.0,156.0,1360.0,-18.0
Indian Institute of Technology Delhi,1152.0,57.0,1209.0,1239.0,0.0,1239.0,30.0
Indian Institute of Technology Dharwad,363.0,22.0,385.0,363.0,22.0,385.0,0.0
Indian Institute of Technology Gandhinagar,320.0,80.0,400.0,288.0,72.0,360.0,-40.0
Indian Institute of Technology Goa,125.0,32.0,157.0,132.0,33.0,165.0,8.0
Indian Institute of Technology Guwahati,855.0,107.0,962.0,855.0,107.0,962.0,0.0
Indian Institute of Technology Hyderabad,494.0,101.0,595.0,529.0,101.0,630.0,35.0
Indian Institute of Technology Indore,445.0,35.0,480.0,445.0,35.0,480.0,0.0
Indian Institute of Technology Jammu,280.0,0.0,280.0,305.0,0.0,305.0,25.0
Indian Institute of Technology Jodhpur,480.0,120.0,600.0,488.0,122.0,610.0,10.0
Indian Institute of Technology Kanpur,964.0,246.0,1210.0,964.0,246.0,1210.0,0.0
Indian Institute of Technology Kharagpur,1699.0,200.0,1899.0,1719.0,200.0,1919.0,20.0
Indian Institute of Technology Madras,1054.0,74.0,1128.0,1054.0,67.0,1121.0,-7.0
Indian Institute of Technology Mandi,501.0,19.0,520.0,501.0,19.0,520.0,0.0
Indian Institute of Technology Palakkad,160.0,40.0,200.0,160.0,40.0,200.0,0.0
Indian Institute of Technology Patna,782.0,42.0,824.0,782.0,35.0,817.0,-7.0
Indian Institute of Technology Roorkee,1225.0,128.0,1353.0,1246.0,107.0,1353.0,0.0
Indian Institute of Technology Ropar,382.0,48.0,430.0,598.0,48.0,646.0,216.0
Indian Institute of Technology Tirupati,241.0,13.0,254.0,241.0,13.0,254.0,0.0

